size	stride	elapsed(s)	cycles
4096	1	0.003399	3404
4096	2	0.000925	925
4096	4	0.000919	919
4096	8	0.000906	905
4096	16	0.000906	906
4096	32	0.000907	907
4096	64	0.000835	835
4096	128	0.000840	840
4096	256	0.000866	865
4096	512	0.000824	824
4096	1024	0.000759	760
4096	2048	0.000790	790
8192	1	0.001921	1921
8192	2	0.001850	1850
8192	4	0.001839	1840
8192	8	0.001801	1802
8192	16	0.001881	1882
8192	32	0.001786	1786
8192	64	0.001793	1794
8192	128	0.001719	1719
8192	256	0.001668	1668
8192	512	0.001689	1688
8192	1024	0.001627	1627
8192	2048	0.001674	1674
8192	4096	0.001685	1685
16384	1	0.003766	3766
16384	2	0.003693	3692
16384	4	0.003715	3715
16384	8	0.003628	3628
16384	16	0.003685	3685
16384	32	0.003700	3700
16384	64	0.003577	3577
16384	128	0.003622	3622
16384	256	0.003346	3346
16384	512	0.003347	3347
16384	1024	0.003299	3298
16384	2048	0.003428	3428
16384	4096	0.003806	3806
16384	8192	0.003397	3396
32768	1	0.007416	7416
32768	2	0.007269	7268
32768	4	0.007259	7259
32768	8	0.007136	7137
32768	16	0.007207	7207
32768	32	0.006842	6842
32768	64	0.007277	7277
32768	128	0.007271	7270
32768	256	0.007172	7172
32768	512	0.006699	6699
32768	1024	0.006561	6561
32768	2048	0.006752	6752
32768	4096	0.007260	7260
32768	8192	0.007109	7108
32768	16384	0.006809	6809
65536	1	0.012974	12975
65536	2	0.012404	12404
65536	4	0.014179	14179
65536	8	0.014624	14624
65536	16	0.014366	14366
65536	32	0.014132	14132
65536	64	0.012175	12175
65536	128	0.012421	12421
65536	256	0.012397	12397
65536	512	0.012581	12581
65536	1024	0.012186	12186
65536	2048	0.014397	14397
65536	4096	0.047834	47834
65536	8192	0.014429	14429
65536	16384	0.014220	14219
65536	32768	0.013590	13589
131072	1	0.025959	25959
131072	2	0.024850	24850
131072	4	0.028388	28387
131072	8	0.029282	29282
131072	16	0.028876	28875
131072	32	0.028447	28447
131072	64	0.024542	24541
131072	128	0.025539	25539
131072	256	0.025990	25989
131072	512	0.026617	26617
131072	1024	0.027479	27479
131072	2048	0.044293	44293
131072	4096	0.104693	104693
131072	8192	0.066172	66171
131072	16384	0.028858	28858
131072	32768	0.028436	28436
131072	65536	0.027205	27205
262144	1	0.051941	51941
262144	2	0.049759	49758
262144	4	0.056962	56963
262144	8	0.058480	58480
262144	16	0.057866	57866
262144	32	0.056471	56471
262144	64	0.050627	50627
262144	128	0.055871	55871
262144	256	0.058308	58308
262144	512	0.059673	59673
262144	1024	0.062824	62824
262144	2048	0.081283	81283
262144	4096	0.214156	214156
262144	8192	0.227081	227081
262144	16384	0.203405	203405
262144	32768	0.057711	57712
262144	65536	0.056874	56874
262144	131072	0.054397	54396
524288	1	0.104169	104169
524288	2	0.099438	99438
524288	4	0.114333	114333
524288	8	0.116816	116816
524288	16	0.116159	116159
524288	32	0.111473	111473
524288	64	0.107434	107434
524288	128	0.131163	131163
524288	256	0.155281	155281
524288	512	0.159827	159827
524288	1024	0.163817	163817
524288	2048	0.156515	156515
524288	4096	0.443646	443645
524288	8192	0.458016	458016
524288	16384	0.440982	440982
524288	32768	0.293126	293126
524288	65536	0.122545	122545
524288	131072	0.113731	113731
524288	262144	0.108812	108811
1048576	1	0.208187	208187
1048576	2	0.198843	198844
1048576	4	0.228680	228681
1048576	8	0.233465	233465
1048576	16	0.232151	232151
1048576	32	0.222420	222421
1048576	64	0.215914	215913
1048576	128	0.268943	268944
1048576	256	0.328909	328909
1048576	512	0.340963	340963
1048576	1024	0.348729	348729
1048576	2048	0.319566	319566
1048576	4096	0.936951	936951
1048576	8192	0.940573	940573
1048576	16384	0.837012	837012
1048576	32768	0.861204	861204
1048576	65536	0.589268	589268
1048576	131072	0.245086	245086
1048576	262144	0.227483	227483
1048576	524288	0.217458	217458
2097152	1	0.415801	415801
2097152	2	0.397928	397928
2097152	4	0.457557	457557
2097152	8	0.466542	466542
2097152	16	0.463776	463777
2097152	32	0.444085	444085
2097152	64	0.430895	430894
2097152	128	0.535828	535827
2097152	256	0.658650	658649
2097152	512	0.684330	684330
2097152	1024	0.698328	698328
2097152	2048	0.635103	635103
2097152	4096	1.841900	1841900
2097152	8192	1.876883	1876883
2097152	16384	1.761682	1761682
2097152	32768	1.807127	1807127
2097152	65536	1.720417	1720417
2097152	131072	1.182776	1182776
2097152	262144	0.490175	490174
2097152	524288	0.454892	454893
2097152	1048576	0.434923	434923
4194304	1	0.830789	830789
4194304	2	0.791522	791522
4194304	4	0.915806	915806
4194304	8	0.934943	934943
4194304	16	0.927393	927393
4194304	32	0.891285	891285
4194304	64	0.877024	877024
4194304	128	1.102564	1102564
4194304	256	1.375300	1375300
4194304	512	1.455538	1455537
4194304	1024	1.527578	1527578
4194304	2048	1.540759	1540759
4194304	4096	3.757942	3757942
4194304	8192	3.716851	3716851
4194304	16384	3.579636	3579636
4194304	32768	3.688888	3688888
4194304	65536	3.512244	3512243
4194304	131072	3.667979	3667978
4194304	262144	2.364584	2364584
4194304	524288	0.981715	981714
4194304	1048576	0.910017	910017
4194304	2097152	0.870952	870952
